Date,AAPL,^GSPC
2023-03-21,157.00543212890625,4002.8701171875
2023-03-22,155.57614135742188,3936.969970703125
2023-03-23,156.66041564941406,3948.719970703125
2023-03-24,157.9615936279297,3970.989990234375
2023-03-27,156.0197296142578,3977.530029296875
2023-03-28,155.39871215820312,3971.27001953125
2023-03-29,158.47418212890625,4027.81005859375
2023-03-30,160.04147338867188,4050.830078125
2023-03-31,162.54519653320312,4109.31005859375
2023-04-03,163.79705810546875,4124.509765625
2023-04-04,163.2647705078125,4100.60009765625
2023-04-05,161.4214630126953,4090.3798828125
2023-04-06,162.3086395263672,4105.02001953125
2023-04-10,159.71615600585938,4109.10986328125
2023-04-11,158.50375366210938,4108.93994140625
2023-04-12,157.8137664794922,4091.949951171875
2023-04-13,163.19580078125,4146.22021484375
2023-04-14,162.8507843017578,4137.64013671875
2023-04-17,162.8704833984375,4151.31982421875
2023-04-18,164.09275817871094,4154.8701171875
2023-04-19,165.23622131347656,4154.52001953125
2023-04-20,164.27017211914062,4129.7900390625
2023-04-21,162.66346740722656,4133.52001953125
2023-04-24,162.96905517578125,4137.0400390625
2023-04-25,161.4313201904297,4071.6298828125
2023-04-26,161.4214630126953,4055.989990234375
2023-04-27,166.00506591796875,4135.35009765625
2023-04-28,167.2569122314453,4169.47998046875
2023-05-01,167.168212890625,4167.8701171875
2023-05-02,166.13323974609375,4119.580078125
2023-05-03,165.05877685546875,4090.75
2023-05-04,163.42245483398438,4061.219970703125
2023-05-05,171.0913848876953,4136.25
2023-05-08,171.02235412597656,4138.1201171875
2023-05-09,169.31712341308594,4119.169921875
2023-05-10,171.08151245117188,4137.64013671875
2023-05-11,171.26881408691406,4130.6201171875
2023-05-12,170.3409423828125,4124.080078125
2023-05-15,169.847412109375,4136.27978515625
2023-05-16,169.847412109375,4109.89990234375
2023-05-17,170.45938110351562,4158.77001953125
2023-05-18,172.78892517089844,4198.0498046875
2023-05-19,172.89749145507812,4191.97998046875
2023-05-22,171.9498748779297,4192.6298828125
2023-05-23,169.343994140625,4145.580078125
2023-05-24,169.62037658691406,4115.240234375
2023-05-25,170.75552368164062,4151.27978515625
2023-05-26,173.16400146484375,4205.4501953125
2023-05-30,175.00982666015625,4205.52001953125
2023-05-31,174.96047973632812,4179.830078125
2023-06-01,177.7637939453125,4221.02001953125
2023-06-02,178.61268615722656,4282.3701171875
2023-06-05,177.2604217529297,4273.7900390625
2023-06-06,176.8951873779297,4283.85009765625
2023-06-07,175.52313232421875,4267.52001953125
2023-06-08,178.2375946044922,4293.93017578125
2023-06-09,178.62255859375,4298.85986328125
2023-06-12,181.41603088378906,4338.93017578125
2023-06-13,180.94223022460938,4369.009765625
2023-06-14,181.57395935058594,4372.58984375
2023-06-15,183.6073455810547,4425.83984375
2023-06-16,182.53143310546875,4409.58984375
2023-06-20,182.62025451660156,4388.7099609375
2023-06-21,181.5838623046875,4365.68994140625
2023-06-22,184.58453369140625,4381.89013671875
2023-06-23,184.26869201660156,4348.330078125
2023-06-26,182.87689208984375,4328.81982421875
2023-06-27,185.63084411621094,4378.41015625
2023-06-28,186.80548095703125,4376.85986328125
2023-06-29,187.14111328125,4396.43994140625
2023-06-30,191.4645538330078,4450.3798828125
2023-07-03,189.97402954101562,4455.58984375
2023-07-05,188.85862731933594,4446.81982421875
2023-07-06,189.3324432373047,4411.58984375
2023-07-07,188.2169952392578,4398.9501953125
2023-07-10,186.1737518310547,4409.52978515625
2023-07-11,185.65061950683594,4439.259765625
2023-07-12,187.3187713623047,4472.16015625
2023-07-13,188.0788116455078,4510.0400390625
2023-07-14,188.22689819335938,4505.419921875
2023-07-17,191.48426818847656,4522.7900390625
